읍면동,종합라벨,시장,추천종목_1,추천종목_2,추천종목_3,추천종목_4,추천종목_5,region_id,stock_ids
숭의1·3동,청년성장형_건설업,국장,현대건설,GS건설,대우건설,SK하이닉스,삼성전자,1170,"[228, 233, 259, 196, 195]"
숭의2동,청년성장형_건설업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,1171,[]
숭의2동,청년성장형_건설업,국장,현대건설,GS건설,대우건설,SK하이닉스,삼성전자,1171,"[228, 233, 259, 196, 195]"
숭의4동,청년성장형_운수 및 창고업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,1172,[]
숭의4동,청년성장형_운수 및 창고업,국장,삼성전자,SK하이닉스,카카오,네이버,LG에너지솔루션,1172,"[195, 196, 270, 279, 198]"
숭인1동,중장년균형형_제조업,국장,포스코홀딩스,삼성전자,SK하이닉스,카카오,네이버,1068,"[283, 195, 196, 270, 279]"
숭인1동,중장년균형형_제조업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,1068,[]
숭인2동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,1069,[]
숭인2동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,1069,"[238, 248, 256, 195, 196]"
식사동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,115,"[238, 248, 256, 195, 196]"
식사동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,115,[]
신갈동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,521,[]
신갈동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,521,"[238, 248, 256, 195, 196]"
신곡1동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,559,[]
신곡1동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,559,"[238, 248, 256, 195, 196]"
신곡2동,청년성장형_건설업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,560,[]
신곡2동,청년성장형_건설업,국장,현대건설,GS건설,대우건설,SK하이닉스,삼성전자,560,"[228, 233, 259, 196, 195]"
신길1동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,1019,"[238, 248, 256, 195, 196]"
신길1동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,1019,[]
신길3동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,1020,[]
신길3동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,1020,"[238, 248, 256, 195, 196]"
신길4동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,1021,[]
신길4동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,1021,"[238, 248, 256, 195, 196]"
신길5동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,1022,"[238, 248, 256, 195, 196]"
신길5동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,1022,[]
신길6동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,1023,"[238, 248, 256, 195, 196]"
신길6동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,1023,[]
