읍면동,종합라벨,시장,추천종목_1,추천종목_2,추천종목_3,추천종목_4,추천종목_5,region_id,stock_ids
야탑2동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,282,"[238, 248, 256, 195, 196]"
야탑3동,청년성장형_운수 및 창고업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,283,[]
야탑3동,청년성장형_운수 및 창고업,국장,삼성전자,SK하이닉스,카카오,네이버,LG에너지솔루션,283,"[195, 196, 270, 279, 198]"
약수동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,1086,"[238, 248, 256, 195, 196]"
약수동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,1086,[]
양감면,고령안정형_제조업,국장,삼성전자,SK하이닉스,카카오,네이버,LG에너지솔루션,676,"[195, 196, 270, 279, 198]"
양감면,고령안정형_제조업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,676,[]
양도면,고령안정형_숙박 및 음식점업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,1119,[]
양도면,고령안정형_숙박 및 음식점업,국장,삼성전자,SK하이닉스,카카오,네이버,LG에너지솔루션,1119,"[195, 196, 270, 279, 198]"
양동면,고령안정형_숙박 및 음식점업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,472,[]
양동면,고령안정형_숙박 및 음식점업,국장,삼성전자,SK하이닉스,카카오,네이버,LG에너지솔루션,472,"[195, 196, 270, 279, 198]"
